Domain	siteID	Latitude	Longitude	elevation(m)	NLCDC	plotID	Date	boutNumber	LichenIndex	PercentCanopyCover	precipCalcium	precipMagnesium	precipPotassium	precipSodium	precipAmmonium	precipNitrate	precipSulfate	precipPhosphate	precipChloride	precipBromide	pH	precipConductivity
D16	ABBY	45.754263	-122.384239	439	shrubScrub	ABBY_012	7/2/2019	1	4	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.764526	-122.38678	459.5	grasslandHerbaceous	ABBY_019	7/3/2019	2	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.752598	-122.325841	417.1	evergreenForest	ABBY_020	7/5/2019	2	2	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.755549	-122.320429	386.6	grasslandHerbaceous	ABBY_023	7/4/2019	2	2.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.770172	-122.387515	484.6	shrubScrub	ABBY_027	7/11/2019	2	2.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.777447	-122.297106	639	shrubScrub	ABBY_028	7/11/2019	2	3.5	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D17	ABBY	45.764081	-122.313751	359.9	mixedForest	ABBY_030	7/5/2019	2	2	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D18	BARR	71.244105	-156.421392	5.7	sedgeHerbaceous	BARR_001	7/17/2019	1	5.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.273924	-156.599236	5.2	sedgeHerbaceous	BARR_002	7/22/2019	1	90	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.258668	-156.648849	6.5	emergentHerbaceousWetlands	BARR_003	7/31/2019	1	0	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.241422	-156.502856	6.3	sedgeHerbaceous	BARR_004	7/30/2019	1	148	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.242584	-156.311981	4	sedgeHerbaceous	BARR_005	7/17/2019	1	57	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.258067	-156.602012	7.9	sedgeHerbaceous	BARR_006	7/30/2019	1	2	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.259634	-156.495507	4.1	sedgeHerbaceous	BARR_007	7/18/2019	1	47.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.251783	-156.451332	5	sedgeHerbaceous	BARR_008	7/31/2019	1	27	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.289227	-156.618318	5.3	sedgeHerbaceous	BARR_009	7/19/2019	1	79.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.30303	-156.623332	3.5	emergentHerbaceousWetlands	BARR_011	7/31/2019	1	17	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.253775	-156.380751	3.8	sedgeHerbaceous	BARR_012	7/23/2019	1	48	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.265929	-156.606092	5.9	sedgeHerbaceous	BARR_013	7/31/2019	1	157.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.267253	-156.562377	5.9	sedgeHerbaceous	BARR_015	7/26/2019	1	61.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.246041	-156.50481	5.6	sedgeHerbaceous	BARR_016	7/30/2019	1	15.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.244828	-156.434658	6	emergentHerbaceousWetlands	BARR_017	7/17/2019	1	23.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.30672	-156.616988	3.1	sedgeHerbaceous	BARR_018	7/30/2019	1	0	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.226667	-156.546572	12.9	sedgeHerbaceous	BARR_019	7/30/2019	1	32	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.261169	-156.489461	3.1	sedgeHerbaceous	BARR_020	7/18/2019	1	0	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.2558	-156.5504	5.6	emergentHerbaceousWetlands	BARR_021	7/30/2019	1	0	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
D18	BARR	71.246709	-156.395116	4.5	sedgeHerbaceous	BARR_022	7/26/2019	1	2.5	0	0.1526	0.318	0.1258	2.7378	0.1172	0.2636	1.42	0.016	5.0978	0.015	5.262	25.92
