deicer,treatment_level,concentration,units,replicate,seed_no,germination,set_up_date,check_date,check_time,initials,notes
control,,,,1,1,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,2,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,3,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,4,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,5,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,6,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,7,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,8,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,9,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,11,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,12,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,13,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,14,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,15,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,16,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,17,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,18,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,19,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,20,no_germination,2025-03-04,2025-03-06,12:09,JD,
control,,,,1,21,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,1,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,2,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,3,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,4,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,5,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,6,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,7,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,8,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,9,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,10,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,11,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,12,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,13,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,14,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,15,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,16,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,17,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,18,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,19,germinated,2025-03-04,2025-03-06,12:09,JD,
control,,,,2,20,germinated,2025-03-04,2025-03-06,12:09,JD,
