deicer,treatment_level,concentration,units,replicate,seed_no,length_mm,initials,notes
beet,high,10,ml/L,1,1,43,NG,
beet,high,10,ml/L,1,2,49,NG,
beet,high,10,ml/L,1,3,50,NG,
beet,high,10,ml/L,1,4,45,NG,
beet,high,10,ml/L,1,5,69,NG,
beet,high,10,ml/L,1,6,68,NG,
beet,high,10,ml/L,1,7,74,NG,
beet,high,10,ml/L,1,8,70,NG,
beet,high,10,ml/L,1,9,53,NG,
beet,high,10,ml/L,1,10,54,NG,
beet,high,10,ml/L,1,11,55,NG,
beet,high,10,ml/L,1,12,66,NG,
beet,high,10,ml/L,1,13,69,NG,
beet,high,10,ml/L,1,14,59,NG,
beet,high,10,ml/L,1,15,64,NG,
beet,high,10,ml/L,1,16,18,NG,
beet,high,10,ml/L,1,17,33,NG,
beet,high,10,ml/L,1,18,35,NG,
beet,high,10,ml/L,1,19,32,NG,
beet,high,10,ml/L,1,20,27,NG,
beet,high,10,ml/L,2,1,59,AF,
beet,high,10,ml/L,2,2,81,AF,
beet,high,10,ml/L,2,3,44,AF,
beet,high,10,ml/L,2,4,86,AF,
beet,high,10,ml/L,2,5,44,AF,
beet,high,10,ml/L,2,6,8,AF,
beet,high,10,ml/L,2,7,21,AF,
beet,high,10,ml/L,2,8,31,AF,
beet,high,10,ml/L,2,9,47,AF,
beet,high,10,ml/L,2,10,70,AF,
beet,high,10,ml/L,2,11,33,AF,
beet,high,10,ml/L,2,12,83,AF,
beet,high,10,ml/L,2,13,16,AF,
beet,high,10,ml/L,2,14,12,AF,
beet,high,10,ml/L,2,15,31,AF,
beet,high,10,ml/L,2,16,39,AF,
beet,high,10,ml/L,2,17,33,AF,
beet,high,10,ml/L,2,18,61,AF,
beet,high,10,ml/L,2,19,45,AF,
beet,high,10,ml/L,2,20,52,AF,
beet,high,10,g/L,3,1,84,BH,
beet,high,10,g/L,3,2,14,BH,
beet,high,10,g/L,3,3,55,BH,
beet,high,10,g/L,3,4,62,BH,
beet,high,10,g/L,3,5,68,BH,
beet,high,10,g/L,3,6,74,BH,
beet,high,10,g/L,3,8,29,BH,
beet,high,10,g/L,3,9,75,BH,
beet,high,10,g/L,3,10,37,BH,The smallest growth was mostly seen in the center of the plate
beet,high,10,g/L,3,11,69,BH,
beet,high,10,g/L,3,12,85,BH,
beet,high,10,g/L,3,13,59,BH,
beet,high,10,g/L,3,14,70,BH,
beet,high,10,g/L,3,15,78,BH,
beet,high,10,g/L,3,16,79,BH,
beet,high,10,g/L,3,17,36,BH,
beet,high,10,g/L,3,18,60,BH,
beet,high,10,g/L,3,19,16,BH,
beet,high,10,g/L,3,20,22,BH,
beet,low,1,ml/L,1,1,56,NG,
beet,low,1,ml/L,1,2,71,NG,
beet,low,1,ml/L,1,3,69,NG,
beet,low,1,ml/L,1,4,73,NG,
beet,low,1,ml/L,1,5,50,NG,
beet,low,1,ml/L,1,6,68,NG,
beet,low,1,ml/L,1,7,42,NG,
beet,low,1,ml/L,1,8,46,NG,
beet,low,1,ml/L,1,9,55,NG,
beet,low,1,ml/L,1,10,50,NG,
beet,low,1,ml/L,1,11,58,NG,
beet,low,1,ml/L,1,12,37,NG,
beet,low,1,ml/L,1,13,45,NG,
beet,low,1,ml/L,1,14,54,NG,
beet,low,1,ml/L,1,15,43,NG,
beet,low,1,ml/L,1,16,45,NG,
beet,low,1,ml/L,1,17,33,NG,
beet,low,1,ml/L,1,18,41,NG,
beet,low,1,ml/L,1,19,15,NG,
beet,low,1,ml/L,1,20,34,NG,
beet,low,1,ml/L,2,1,48,AF,
beet,low,1,ml/L,2,2,85,AF,
beet,low,1,ml/L,2,3,50,AF,
beet,low,1,ml/L,2,4,34,AF,
beet,low,1,ml/L,2,5,29,AF,
beet,low,1,ml/L,2,6,35,AF,
beet,low,1,ml/L,2,7,47,AF,
beet,low,1,ml/L,2,8,61,AF,
beet,low,1,ml/L,2,9,53,AF,
beet,low,1,ml/L,2,10,49,AF,
beet,low,1,ml/L,2,11,44,AF,
beet,low,1,ml/L,2,12,13,AF,
beet,low,1,ml/L,2,13,39,AF,
beet,low,1,ml/L,2,14,32,AF,
beet,low,1,ml/L,2,15,64,AF,
beet,low,1,ml/L,2,16,57,AF,
beet,low,1,ml/L,2,17,37,AF,
beet,low,1,ml/L,2,18,26,AF,
beet,low,1,ml/L,2,19,44,AF,
beet,low,1,ml/L,2,20,35,AF,
beet,low,1,g/L,3,1,35,JS,
beet,low,1,g/L,3,2,47,JS,
beet,low,1,g/L,3,3,54,JS,
beet,low,1,g/L,3,4,37,JS,
beet,low,1,g/L,3,5,46,JS,
beet,low,1,g/L,3,6,64,JS,
beet,low,1,g/L,3,7,43,JS,
beet,low,1,g/L,3,8,35,JS,
beet,low,1,g/L,3,9,48,JS,
beet,low,1,g/L,3,10,62,JS,
beet,low,1,g/L,3,11,54,JS,
beet,low,1,g/L,3,12,66,JS,
beet,low,1,g/L,3,13,65,JS,
beet,low,1,g/L,3,14,30,JS,
beet,low,1,g/L,3,15,59,JS,
beet,low,1,g/L,3,16,13,JS,
beet,low,1,g/L,3,17,70,JS,
beet,low,1,g/L,3,18,45,JS,
beet,low,1,g/L,3,19,66,JS,
beet,low,1,g/L,3,20,31,JS,
CaCl,high,10,g/L,1,1,16,CS,
CaCl,high,10,g/L,1,1,26,AH,
CaCl,high,10,g/L,1,2,15,AH,
CaCl,high,10,g/L,1,2,16,CS,
CaCl,high,10,g/L,1,3,7,CS,
CaCl,high,10,g/L,1,3,10,AH,
CaCl,high,10,g/L,1,4,3,CS,
CaCl,high,10,g/L,1,4,15,AH,
CaCl,high,10,g/L,1,5,14,CS,
CaCl,high,10,g/L,1,5,26,AH,
CaCl,high,10,g/L,1,6,6,CS,
CaCl,high,10,g/L,1,6,13,AH,
CaCl,high,10,g/L,1,7,4,CS,
CaCl,high,10,g/L,1,7,11,AH,
CaCl,high,10,g/L,1,8,5,CS,
CaCl,high,10,g/L,1,8,10,AH,
CaCl,high,10,g/L,1,9,5,CS,
CaCl,high,10,g/L,1,9,13,AH,
CaCl,high,10,g/L,1,10,2,CS,
CaCl,high,10,g/L,1,10,8,AH,
CaCl,high,10,g/L,1,11,9,AH,
CaCl,high,10,g/L,1,11,11,CS,
CaCl,high,10,g/L,1,12,11,CS,
CaCl,high,10,g/L,1,12,15,AH,
CaCl,high,10,g/L,1,13,6,AH,
CaCl,high,10,g/L,1,13,20,CS,
CaCl,high,10,g/L,1,14,10,AH,
CaCl,high,10,g/L,1,15,5,CS,
CaCl,high,10,g/L,1,15,8,AH,
CaCl,high,10,g/L,1,16,10,CS,
CaCl,high,10,g/L,1,16,12,AH,
CaCl,high,10,g/L,1,17,15,CS,
CaCl,high,10,g/L,1,17,15,AH,
CaCl,high,10,g/L,1,18,2,CS,
CaCl,high,10,g/L,1,18,3,AH,
CaCl,high,10,g/L,1,19,6,AH,
CaCl,high,10,g/L,1,19,15,CS,
CaCl,high,10,g/L,1,20,5,AH,
CaCl,high,10,g/L,1,20,18,CS,
CaCl,high,10,g/L,3,1,49,BH,
CaCl,high,10,g/L,3,2,6,BH,
CaCl,high,10,g/L,3,3,35,BH,
CaCl,high,10,g/L,3,4,21,BH,
CaCl,high,10,g/L,3,5,8,BH,
CaCl,high,10,g/L,3,6,29,BH,
CaCl,high,10,g/L,3,7,43,BH,
CaCl,high,10,g/L,3,8,33,BH,
CaCl,high,10,g/L,3,9,45,BH,
CaCl,high,10,g/L,3,10,17,BH,
CaCl,high,10,g/L,3,11,1,BH,not a lot of gowth 
CaCl,high,10,g/L,3,12,3,BH,
CaCl,high,10,g/L,3,13,3,BH,
CaCl,high,10,g/L,3,14,14,BH,
CaCl,high,10,g/L,3,15,3,BH,
CaCl,high,10,g/L,3,16,16,BH,
CaCl,high,10,g/L,3,17,10,BH,
CaCl,high,10,g/L,3,18,3,BH,
CaCl,high,10,g/L,3,19,2,BH,
CaCl,high,10,g/L,3,20,10,BH,
CaCl,low,1,g/L,1,1,7,MD,leaves haven't popped out 
CaCl,low,1,g/L,1,1,23,CS,
CaCl,low,1,g/L,1,2,3,MD,no leaves
CaCl,low,1,g/L,1,2,17,CS,
CaCl,low,1,g/L,1,3,7,MD,no leaves 
CaCl,low,1,g/L,1,3,10,CS,
CaCl,low,1,g/L,1,4,15,CS,
CaCl,low,1,g/L,1,4,20,MD,has leaves 
CaCl,low,1,g/L,1,5,2,MD,no leaves 
CaCl,low,1,g/L,1,5,3,CS,
CaCl,low,1,g/L,1,6,6,MD,no leaves
CaCl,low,1,g/L,1,6,20,CS,
CaCl,low,1,g/L,1,7,9,CS,
CaCl,low,1,g/L,1,7,17,MD,
CaCl,low,1,g/L,1,8,2,MD,no leaves
CaCl,low,1,g/L,1,8,15,CS,
CaCl,low,1,g/L,1,9,3,MD,
CaCl,low,1,g/L,1,9,10,CS,
CaCl,low,1,g/L,1,10,7,MD,leaves starting to pop out but not fully 
CaCl,low,1,g/L,1,10,20,CS,
CaCl,low,1,g/L,1,11,9,MD,
CaCl,low,1,g/L,1,11,20,CS,
CaCl,low,1,g/L,1,12,2,MD,
CaCl,low,1,g/L,1,12,10,CS,
CaCl,low,1,g/L,1,13,4,CS,
CaCl,low,1,g/L,1,13,13,MD,
CaCl,low,1,g/L,1,14,6,MD,
CaCl,low,1,g/L,1,14,20,CS,
CaCl,low,1,g/L,1,15,6,MD,
CaCl,low,1,g/L,1,15,15,CS,
CaCl,low,1,g/L,1,16,20,MD,
CaCl,low,1,g/L,1,16,23,CS,
CaCl,low,1,g/L,1,17,10,MD,
CaCl,low,1,g/L,1,17,26,CS,
CaCl,low,1,g/L,1,18,3,MD,
CaCl,low,1,g/L,1,18,12,CS,
CaCl,low,1,g/L,1,19,6,CS,
CaCl,low,1,g/L,1,19,19,MD,leaves 
CaCl,low,1,g/L,1,20,5,CS,
CaCl,low,1,g/L,1,20,11,MD,
CaCl,low,1,g/L,3,1,20,AN,
CaCl,low,1,g/L,3,2,30,AN,
CaCl,low,1,g/L,3,3,10,AN,
CaCl,low,1,g/L,3,4,10,AN,
CaCl,low,1,g/L,3,5,10,AN,
CaCl,low,1,g/L,3,6,10,AN,
CaCl,low,1,g/L,3,7,20,AN,
CaCl,low,1,g/L,3,8,20,AN,
CaCl,low,1,g/L,3,9,10,AN,
CaCl,low,1,g/L,3,10,10,AN,
CaCl,low,1,g/L,3,11,20,AN,
CaCl,low,1,g/L,3,12,20,AN,
CaCl,low,1,g/L,3,13,10,AN,
CaCl,low,1,g/L,3,14,20,AN,
CaCl,low,1,g/L,3,15,10,AN,
CaCl,low,1,g/L,3,16,10,AN,
CaCl,low,1,g/L,3,17,10,AN,
CaCl,low,1,g/L,3,18,10,AN,
CaCl,low,1,g/L,3,19,10,AN,
CaCl,low,1,g/L,3,20,10,AN,
DI-water,,,,1,1,75,BT,
DI-water,,,,1,2,63,BT,
DI-water,,,,1,3,51,BT,
DI-water,,,,1,4,71,BT,
DI-water,,,,1,5,55,BT,
DI-water,,,,1,6,34,BT,
